number,title,abstract,applicant,publicNumber,publicDate,applicationNumber,applicationDate,IPCmain,IPC
421,A Mobile Multi-Point Arrangement Blasting Remote Control Vehicle Used In Dangerous Environment,"The Invention Provides A Mobile Multi-Point Arrangement Blasting Remote Control Vehicle For Dangerous Environments, Which Is Composed Of A Supporting Frame, A Radio Communication Module, A Vertical Roller Mechanism, An Explosive Carrier, A Rotating Baffle Mechanism, And A Carrier Replacement Mechanism (Two Sets Of Symmetrical Arrangement), The Carrier Output Mechanism, Power Mechanism And Other Auxiliary Parts Are Composed. The Main Function Of The Remote Control Car Of The Present Invention Is To Receive The Remote Control Signal Of The Blaster, Enter The Target Building Under The Control Of The Blaster, And Complete The Placement Of Explosives At A Designated Position In The Building.",Harbin Engineering University,CN107063012B,2018/7/24 0:00,CN201710330005.4,2017/5/11 0:00,F42D1/00,F42D1/00; F42D3/02; F42D5/00
488,Apparatus For Determining Errors Carrying Flight Unmanned Missile And Method Therefor On A Carrier Aircraft Formed A For,"The Device (1) Has A Flight Error Storage Device (17) I.E. Non-Volatile Memory,  For Storage Of Flight Patterns Indicating Defects Of An Unmanned Flying Body I.E. Missile (3). A Transmission Unit (12) Is Arranged For Transmission Of The Flight Patterns From The Storage Device. A Data Cable (2) Is Arranged For Transmission Of Control Signals From The Storage Device To The Missile During Missile Test. The Data Cable Is Arranged For Receiving Output Test Error Patterns From The Missile In Response To The Control Signals From The Storage Device. Independent Claims Are Also Included For The Following :  (1) A Method For Detecting Defects Of An Unmanned Missile (2) A Computer Program Product Comprising Instructions For Performing The Method For Detecting Defects Of The Unmanned Missile.",MBDA Deutschland GmbH,DE102012015363B4,2014/10/23 0:00,DE102012015363,2012/8/6 0:00,F42B35/00,F42B35/00
503,Conveyor Feeder Of Artillery Assault Rifle Artillery Naval Unit,"Field: Military Equipment.
    Substance: Invention Relates To Ammunition Supply To Artillery Installations. Conveyor Feeder Of Artillery Assault Rifle Artillery Naval Unit Comprises Two Conveyors With Chain Traction And Truck Carrying Load-Carrying Elements. Artillery Unit Machine Trunnion Bracket Are Supporting And Guiding Structures Of Conveyors. Conveyor Is Formed By Chain Of Articulated Modular Trolleys With Support Rollers And Running Roller. Each Bogie Has A Unit For Fixing A Single-Piece Cartridge For Holding And Displacing A Shot Into The Artillery Machine Gun Receivers. Movement Of Conveyor Chain Is Carried Out By Interaction Of Running Rollers With Sprockets Of Single Chain Drive. Sprockets Rotation Is Performed Due To Gimbal Transmission.
    Effect: Providing Stable Position Of Conveyor Feeder Modular Truck, Simplifying Design And Improving Artillery Naval Unit Reliability.
    1 Cl, 13 Dwg",OTKRYTOE AKTSIONERNOE OBSHCHESTVO MASH ZAVOD ARSENAL,RU2694485C1,2019/7/15 0:00,RU2018122016,2018/6/14 0:00,F41A9/04,F41A9/04
628,Vehicle-Mounted Anti-Uav Monitoring And Intercepting Device,"A Vehicle-Mounted Anti-Uav Monitoring And Intercepting Device Belongs To The Technical Field Of Uav Security Defense, And Particularly Relates To An Anti-Uav Monitoring And Intercepting Device, Including Off-Road Vehicles, Radar Early Warning Systems, Intelligent Monitoring Systems, And Storage Systems. Energy Box, High And Low Angle Adjuster And Electronic Interference System. When The Drone Enters The Protected Area, The Radar Early Warning System Scans The Drone And Transmits The Signal To The On-Board Control Center. The On-Board Control Center Controls The Electronic Jamming System To Transmit Interference Signals In The Frequency Band Where The Drone Is Located To Interfere With Its Uplink And Downlink. The Frequency Band Signal Transmission Makes The Remote Control Fail, And The Captured Images And Videos Cannot Be Transmitted Back, Forcing The Drone To Hover And Land In The Air, Completely Cutting Off The Connection Between The Drone And The Remote Control Or Ground Station. The Invention Can Realize The Interception Of Various Types Of Uavs And Track Low- And Medium-Speed Uavs, And Adopts A Vehicle-Mounted Uav That Can Flexibly Inhibit Illegal Intrusion.","Foshan Shenfeng Aviation Technology Co., Ltd.",CN107062993A,2017/8/18 0:00,CN201710365636.X,2017/5/22 0:00,F41H11/02,F41H11/02; G05D3/12
720,Multimode Unmanned Aerial Vehicle,"Problem To Be Solved: To Provide An Unmanned Aerial Vehicle System Comprising An Unmanned Aerial Vehicle (Uav) Provided With A Terminal Homing Mode, And Configured To Deliver A Payload To A Target.
    Solution: The Uav 410 May Be In A Racetrack Of Circular (I.E. Rotation About A Ground Point Or Positional Target) Or Other Flight Pattern 420 As Part Of A Target Search Mode, Loiter Mode, Surveillance Mode, Reconnaissance Mode And/Or Other Observation Mode. The Seeker Processing Together With A Guidance Processing And/Or An Uplink From A Command Node, E.G. A Ground Command Node 450, May Place The Uav 410 Into A Terminal Homing Strike Mode 430. The Uav 410 Then May Home On The Ground Target 440, E.G., A Ground Vehicle, In An Effort To Get Close Enough To Effectively Deploy A Payload, Such As Detonating A Warhead, Dropping A Beacon, Or Dispensing A Pigment, And/Or Effect A Collision With The Target.
    Copyright: (C)2016,Jpo&Inpit",AEROVIRONMENT,JP2015212617A,2015/11/26 0:00,JP2015126773,2015/6/24 0:00,F41G7/22,F41G7/22;B64C13/18;B64C13/20;B64C39/02;B64D47/08;F42B10/60;F42B10/64;F42B15/01
729,Stationary Complex For Detection And Destruction Of Small-Size Unmanned Aerial Vehicles,"Field: Weapons; Aviation.
    Substance: Stationary Complex Of Detection And Destruction Of Small-Size Unmanned Aerial Vehicles (Uavs) Is Installed In Zone Of Alienation After Protected Perimeter Of Important Object. It Is A Stationary Complex For Detecting And Destructing A Spacecraft With A Distinctive Feature In A Concrete Conical Structure Installed In The Ground, In The Lower Part Of The Cone There Is A Breech Unit With An Electric Detonator, High-Explosive Ammunition Is Laid In The Breech, Above The High-Explosive Ammunition There Is An Obturating Wad Made From Incombustible Material; On Top The Conical Structure Is Filled With Fine-Dispersed Substance In Amount Of 1500 Kilograms And Placed Above The Wad. Opening Angle Of Cone Is 45 Degrees, Which Provides Wide Grip Of The Target At Altitude Of 120¨C150 Meters, When The Stationary System Is Actuated By Breaking The High-Explosive Ammunition, A Large Cloud Of Fine-Dispersed Substance Is Emitted, Damaging Aerodynamic Rudders And Reconnaissance Means.
    Effect: Technical Result Is Increasing Destructive Power Of Stationary Means Of Combatting Small-Size Drones.
    1 Cl, 2 Dwg",FEDERALNOE GOSUDARSTVENNOE KAZENNOE VOENNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO OBRAZOVANIYA VOENNA,RU2734267C1,2020/10/14 0:00,RU2019126367,2019/8/20 0:00,F41H11/02,F41H11/02
741,Management System Of Several Snipers,"The Invention Relates To A Guidance And Control System And Can Be Used For Anti-Terrorist Operations To Release The Hostages Or Neutralize Self-Explosion Acts Performed By Suicide Bombers Or For Military Sniper Operations. The Technical Effect: Synchronous Targets Firing From Different Firing Positions, Increasing An Accuracy Of Target Firing, Guidance Correction Of Precision Weapon. Substance: A Management System Of Several Snipers Consists Of Several Individual Sniper Kits, A Mobile Relay Kit And A Mobile Central Station Kit. Each Individual Kit Consists Of A Radio Facility For Verbal Radio Communication And A Sniper Rifle With Optical Sight. A Laser Target Designator And A Laser Rangefinder With Photosensor, A Sniper Standby Sensor, A Small-Sized Video Camera With Guided Zoom-Lens, A Firing Pin Remote Activation Device, A Wman Radiomodem, A Satellite Navigational Receiver And Other Equipment, A Bipod Are Installed On The Rifle, Additionally. A Relay Station Is Standard Base Station Equipment Of Wman Technology On A Mobile Platform. The Central Station Equipment Consists Of Radio Facilities For Verbal Radio Communication, A Forming And Selection Equipment Of Control Instructions, Several Wman Radiomodems, A Videomultiplexor, Two Videomonitors, And A Satellite Navigation Receiver, A Weather Station With Sensors, A Ballistic Calculator And Other Equipment. According To The Second Modification, The Central Station Equipment Automatically Remote Controls The Sight Adjustments Of Individual Kit In Accordance With The External Conditions Changes.",BRYLEV Sergey Fedorovich,WO2012138242A1,2012/10/11 0:00,WORU11000222,2011/4/5 0:00,F41G3/00,F41G3/00;F41G5/06
766,Weekly Sighting And Aiming System For Turning Shooting Gun,"The Invention Relates To A Peripheral Sighting And Sighting System For A Turning Shooting Gun. The Sighting System Includes A Finder Optical System With A Red Dot Sighting, A Differential Mechanism And A White Light Imaging System; The Platform Operating Mechanism Of The Sighting And Sighting System And The Upper And Lower Rotating Shafts Are Fixedly Connected Between The Weapon And Combat Mechanisms, And The Shaft Is Driven By The Electric Corner Actuator; The Pistol And Other Weapons Are Fixed On The Fixed Bracket Of The Weapon Combat Mechanism, And The Steel Cable Of The Pistol Firing Mechanism In The Bracket Is Controlled By The Platform Operating Mechanism And The Trigger. Firing Insurance; The Tactical Rail Of The Weapon Combat Mechanism Can Be Installed With Camera/Video And Audio Wireless Transmitters, Tactical Lasers, And Tactical Lights. This Is An Improved Invention And Creation Of The Original Pistol'S Variable-Line Aiming And Shooting Tactical Operating Platform. Wei Prism And Red Dot Rifle Sight Improve The Accuracy Of The Optical System. Due To The Addition Of Free Target Rotation, The Relationship Between Man And Machine Is More Reasonable And The Platform Is More Applicable. Therefore, It Has Obvious Economic Benefits.",Bai Shizhong,CN102393162A,2012/3/28 0:00,CN201110370859.8,2011/11/21 0:00,F41G1/46,F41G1/46
880,A Fixed Anti-Uav Interception Net System,"The Invention Relates To A Fixed Anti-Uav Interception Net System Including An Interception Net Body, A Traction Net Body Rocket Device, A Collision Air Foaming Impact Device And An Electromagnetic Guide Device. It Is Characterized In That The Interception Net Body Adopts A Mesh-Like Object Woven By High-Strength, High-Modulus Polyethylene Fiber And Intelligent Communication Conductive Fiber, And An Information, Intelligent, And Perceptual Device Installed On The Interception Net Body, Which Realizes The Realization Of Small, Low-Altitude, Slow The Early Warning Interception Function Of High-Speed, Spiral-Wing Uav. When The Drone Strikes, The Traction Mesh Rocket Device Carries The Interception Mesh Body And Rises To The Highest Point. The Mesh Body Is Suspended In The Air. The Electromagnetic Guidance Device Is Used To Gather The Mesh Body To Form A Net Bag To Achieve Accurate And Efficient Interception And Capture. Man-Machine Function. The Invention Has The Characteristics Of Intelligent Interception, Stable Performance, Accurate Positioning, High Sensitivity, Simple Operation, Etc., And Can Be Used For Intercepting Small, Low-Altitude, Slow-Speed, Spiral-Wing Drones In The Air.","Shanghai Yinai New Material Technology Co., Ltd.",CN105651120A,2016/6/8 0:00,CN201610062946.X,2016/1/30 0:00,F41H11/04,F41H11/04
960,Unmanned Aerial Vehicle Ground-Air Defense Device System,"The Present Invention Relates To An Unmanned Aerial Vehicle Ground-Air Defense Device System, Which Mainly Includes A Radar Defense Early Warning Network, A Central Computer Defense System And Multiple Unmanned Aerial Vehicle Bases; The Radar Defense Early Warning Network Has An Air Radar And A Signal Transmitting Module; The Central Computer Defense System Is Wirelessly Connected To The Radar Defense Early Warning Network And Has A Central Computer, A Signal Receiving Module, A Processor, A Database And An Information Display Module; Multiple Unmanned Aerial Vehicle Bases Are Wirelessly Connected To The Central Computer Defense System, Each The Unmanned Aerial Vehicle Base Is Equipped With Multiple Unmanned Aerial Vehicles And A Wireless Charging Module, And Each Unmanned Aerial Vehicle Is Equipped With A Mobile Device And A Net Spreader; Thereby, The Present Invention Can Be Used When Foreign Missiles Or Fighters Have Not Reached The Target To Be Attacked. The Object Was Intercepted Before The Object To Achieve The Purpose Of Defense.",Li Chaqixue,CN107830766A,2018/3/23 0:00,CN201710718049.4,2017/8/21 0:00,F41H11/02,F41H11/02; H04B1/40
970,A Photoelectric Early Warning Tracking Strike System,"The Invention Discloses A Photoelectric Early Warning Tracking Strike System, Which Belongs To The Technical Field Of Uav Safety Systems. The Photoelectric Early Warning Tracking Strike System Includes Four Parts: A Pc, An Infrared Video Observation Device, An Electromagnetic Rejection Gun, And An Early Warning Video Observation System. The Pc Includes An Image Processor, A Cpu, A Software Program, An Input Port, And An Output Port For The Analysis Of Digital Signals. The Infrared Video Observation Device Includes: A Pan-Tilt And A High-Definition Infrared Video Device; Used To Track And Observe The Uav . The Electromagnetic Rejection System Includes: A Servo Device System, An Electromagnetic Rejection Gun, Which Can Effectively Strike A Drone. In Addition, The Early Warning Video Observation System Includes 16 4K Laser Supplementary Light Devices, Which Have Monitoring, Tracking And The Three-In-One Attack Function Can Adapt To The Monitoring Of Drones In A Variety Of Environments, Providing A Strong Guarantee For The Safety Of The Route And Avoiding The Interference Of The Drones In The Special Environment.","Hunan Zhengshen Technology Co., Ltd.",CN108225112A,2018/6/29 0:00,CN201810132159.7,2018/2/9 0:00,F41H11/02,F41H11/02; H04N7/18; H04N5/225; H04N5/232; H04N5/235
1046,Unmanned Test Flight Body Training And,The Missile (1) Has A Flight On-Board Computer (14) That Is Provided With A Mission Data Memory (140). A Navigation Computer (13) Generates Control Signals For Actuating Control Surface Actuators Mounted In A Payload Hull. An Image Processing Computer (17) Is Connected To A Seeker Head (16) And The Navigation Computer For Exchanging Mission Data For Controlling Navigation Of The Missile. An Event Storage Device (143) Is Provided For Storing Detected Navigation Events During Training Of Carrier Aircraft With Missile. An Independent Claim Is Included For Method For Checking Mission Plan Data.,LFK Lenkflugk?rpersysteme GmbH,DE102011115963B3,2012/10/25 0:00,DE102011115963,2011/10/13 0:00,F42B35/00,F42B35/00
1047,"Device For Detecting Defects Of Unmanned Missile In Carrier Aircraft, Has Data Cable That Is Arranged For Receiving Output Test Error Patterns From Missile In Response To Control Signals From Storage Device","It A Device Is Proposed (1) For The Determination Of Errors Of An Unmanned Missile On A Carrier Aircraft Designed For Carrying Flight (3), Wherein The Device (1) A Flight Error Storage Facility (17) For Storing Flight Patterns Indicating Defectscarrying Flight Stored In The By The Missile And Means (12) For Transmitting The Flight Patterns Indicating Defects For Flight Error Storage Facility (17) Has, And The Apparatus (1) And Means A Fault Tree Storage Facility (2,12) For Transmitting Control Signals From The Fault Tree Storage Facility (17) To Said Missile (3) In The Missile Test And Means (2,12) For Receiving From The Missile (3) In Response To The Control Signals In A Spent Test Pattern Indicating Defects Storage Facilitytest Patterns Indicating Defects (15) Has.",MBDA Deutschland GmbH,DE102012015363A1,2014/2/6 0:00,DE102012015363,2012/8/6 0:00,F42B35/00,F42B35/00
1051,Unmanned Training And Test Missile,The Missile (1) Has A Flight On-Board Computer (14) That Is Provided With A Mission Data Memory (140). A Navigation Computer (13) Generates Control Signals For Actuating Control Surface Actuators Mounted In A Payload Hull. An Image Processing Computer (17) Is Connected To A Seeker Head (16) And The Navigation Computer For Exchanging Mission Data For Controlling Navigation Of The Missile. An Event Storage Device (143) Is Provided For Storing Detected Navigation Events During Training Of Carrier Aircraft With Missile. An Independent Claim Is Included For Method For Checking Mission Plan Data.,MBDA Deutschland GmbH,EP2581699A2,2013/4/17 0:00,EP12007013,2012/10/10 0:00,F42B15/08,F42B15/08;F41G7/00
