title,type,content,keywords,author,time,url
Sukhoi Su-37 Flanker-E,Multi-role fighter,The Sukhoi Su-37 (NATO designation Flanker-E) multi-role fighter is a further development of the Su-35. This aircraft is sometimes nicknamed the Terminator. Developers had a goal to increase performance and maneuverability of the Su-35 aircraft and update its systems. The Su-37 made its maiden flight in 1996. Only two pre-production technology demonstrators were built due to limited funding and lack of orders. The Su-37 was demonstrated at numerous air shows around the world. It was actively proposed for the Russian Air Force as well as export customers. However this aircraft received no production orders.,,,,
Su-35,Multi-role fighter,"The Su-35 is a significantly developed version of theSu-27. Development began in the early 1980s. The aircraft first flew in 1988 and was originally known as Su-27M. It was proposed as a super agile Su-27 primarily for air superiority missions, but also with a greatly expanded air-to-ground capability. It had a number of improvements in engines, aerodynamics, avionics and construction methods. Later this aircraft was redesignated as the Su-35. It is referred in the West as Flanker-E. Sometimes it is also nicknamed as the Super Flanker. The Su-35 is being proposed as a replacement for Su-27 andMiG-29 fighters. Initial production of the Su-27M commenced in 1988. Later it was redesignated as the Su-35. However only 12 of these aircraft were completed for the Russian Air Force, including 9 pre-production aircraft. Production ceased in 1995. Improved versions of the Su-35 emerged, including the Su-35BM and Su-35UB. However only the Su-35S, which made its first flight in 2008, became the definitive version, which was produced in quantity. Some sources report that by 2017 Russian Air Force operated 68 Su-35S aircraft. In 2015 China ordered 24 of these multi-role fighters, becoming the first foreign customer. A first batch of 4 aircraft was delivered to China in 2016. By 2017 a total of 14 aircraft were reportedly delivered. In 2017 Indonesia ordered 11 aircraft however this deal was abandoned.",,,,
Sukhoi Su-33,Carrier-based air superiority fighter,"The Sukhoi Su-33 was designed primarily for use on the RussianAdmiral Kuznetsov heavy aviation cruiser. It evolved from theSu-27. Originally the shipborne version was known as Su-27K, but later redesignated to Su-33. The Su-33 is an air-superiority fighter. Western reporting name of the aircraft is Flanker-D. Its production began in 1985 in the Soviet Union. The Su-33 made its maiden flight in 1987, but the official introduction to the Russian Navy was only in 1998. It seems that production was stopped in 1997.",,,,
Sukhoi Su-30,Multi-role fighter,"The Su-30 is a two-seat multi-role fighter variant of theSu-27. Initially it was known as Su-27PU. It evolved form the Su-27UB two-seat combat trainer version, but was fitted with new avionics and had an added ground attack capability. Essentially it was an improved capability variant of the Su-27. This aircraft made its maiden flight in 1986. Production began in 1992. It was renamed the Su-30 only in 1996. Its reporting name in the West is Flanker-C. To date more than 200 of these aircraft have been built in Russia. Also India produces a version this aircraft locally under license.",,,,
Sukhoi Su-27,Air superiority fighter,"The Su-27 was developed primarily for Russia's air-defense interceptor forces. Work on the T-10 design that led to the Su-27 began in 1969. The requirement was for a highly maneuverable fighter with very long range, heavy armament and modern sensors, capable of meeting the F-15 on equal terms.? The first? T-10 prototype (Western reporting name Flanker-A) flew in 1977. The early flight development programme revealed serious problems with initial design. Several pilots reportedly died during accidents testing these new aircraft. This led to a total redesign of the aircraft. The resulting T-10S-1 flew in 1981. The single-seat Su-27 (Flanker-B) eventually entered operational service in 1985 and despite its age remains a formidable interceptor. The Su-27 air superiority fighter and its variants have been exported to a number of countries and it is still widely used.",,,,
Yakovlev Yak-141,VTOL multi-role fighter,"The Yak-141 (Western reporting name Freestyle) was a Vertical Take-Off and Landing (VTOL) multi-role fighter. Its original designation was the Yak-41, however this designation was classified by the Soviet military. The Yak-141 was actually a fictitious name, applied to the demonstrator aircraft which set a number of world records. By this name this shipborne fighter was known in the West, it was also applied for promotional purposes by the Yakovlev Design Bureau.",,,,
Atlas Cheetah,Multi-role fighter,A November 1977 United Nations embargo on the delivery of weapons to South Africa forced the South African Air Force (SAAF) to place a high priority on a mid-life upgrade of the aircraft surviving from the 74 Dassault Mirage IIIs and related types received during 1963-70. The upgrade made extensive use of Israeli technology (a fact that was officially denied) and produced aircraft with similar capabilities and avionics to the Israeli Kfir.,,,,
KF-16,Multi-role fighter,The KF-16 is a South Korean multi-role fighter. It is a license-produced version of the American F-16. It was locally produced by Korea Aerospace Industries (KAI). Production began in the early 1990s. A total of 140 KF-16 aircraft were produced. These aircraft are based on American F-16C (single seat) and F-16D (two seat) Block 52 aircraft. The first KF-16 fighters were delivered to the South Korean air force in 1994. At the time it was a modern warplane. The last aircraft was delivered in 2003. Today this aircraft is actively used in South Korea.,,,,
SAAB JAS 39 Gripen,Multi-role fighter,"Designed to replace the Viggen in a variety of roles, the JAS 39 Gripen (griffin) will form the core of Swedish air power well into the 21st century. Also this multi-role fighter received some export orders.",,,,
SAAB 37 Viggen,Interceptor and attack aircraft,"Designed to meet exacting Swedish requirements, the innovative SAAB 37 Viggen (Thunderbolt) multi-role fighter was for many years the backbone of Sweden's air defence, and today five of the Flygvapnet's front-line Flottiljer continue to fly the type. The first Viggen prototype made its maiden flight in 1967, and the initial production AJ 37 attack fighter (108 built) flew in 1971. The other major variants comprised 27 SF 37s for all-weather overland reconnaissance, 28 SH 37s for maritime reconnaissance and 17 Sk 37 operational conversion trainers.",,,,
AIDC F-CK-1 Ching Kuo,Multi-role fighter,"Taiwan's ambitious programme to develop an advanced fighter to replace its fleet of F-5s and F-104s began in 1982, after the US government placed an embargo on the sale of the Northrop F-20, General DynamicsF-16, and any comparable fighter. The same restrictions were not placed on technical assistance, however, and US aerospace companies have collaborated closely with AIDC to develop an indigenous fighter and weapons system. Assistance has been provided by General Dynamics (airframe), Garrett (propulsion), Westinghouse (radar) and a Smiths Industries-led team (avionics).",,,,
Panavia Tornado ADV,Interceptor,"Developed from the Tornado IDS for a wholly RAF requirement, the Tornado ADV (Air Defense Variant) is optimized for long-range interception. Key features comprised installation of Foxhunter radar and a lengthened fuselage for carriage of semi-recessed Sky Flash air-to-air missiles. The interim F.Mk 2 was soon replaced by the definitive F.Mk 3.",,,,
British Aerospace Sea Harrier,Ship-based STOVL fighter and ground attack aircraft,"The versatility and effectiveness of a maritime version of the Harrier were clear as early as 1966, but it was not until May 1975 that the go-ahead was given for development of a dedicated naval variant. Compared to the RAF's Harrier GR.Mk 3, this introduced a new forward fuselage seating the pilot higher to provide space for extra avionics which included a Blue Fox multi-mode radar. The type was intended to be multi-role, and gained the designation FRS for fighter/reconnaissance/strike (for which latter role it carried a lightweight version of the free-fall WE177 weapon).",,,,
Lockheed Martin F-35,Stealthy multi-role fighter,"The Lockheed Martin's F-35 multi-role fighter (also known as the Lightning II) was a contender for the Joint Strike Fighter (JSF) program, which was intended to replace existing aircraft types with a common fighter. The JSF concept was introduced by the US Air Force. Aim of this program was to combine conventional fighter aircraft for the Air Force, catapulted ship-borne aircraft for the US Navy and short take-off-and-vertical-landing fighter for the US Marine Corps.",,,,
F-35A,Stealthy multi-role fighter,"The F-35A is a conventional take-off and landing version of the genericF-35 Lightning II multi-role fighter. The generic F-35 aircraft was proposed in three main variants, including the F-35A conventional take-off and landing aircraft, F-35B short-rake of and vertical landing aircraft andF-35C carrier-based aircraft. The F-35A was developed for the US Air Force (USAF). It is the smallest and lightest version of the F-35. It was planned that these 3 variants of the F-35 will share about 80% of their parts to keep development and production costs low. This also would require less logistic support. However it turned out that by 2017 the design commonality was only 20%. Development of this aircraft was principally funded by the United States, while other partner governments provided additional funding.,evelopment program of the F-35 series was plagued by constant cost overruns. The F-35A will be the most numerous version of the F-35. In the USAFs service the F-35A will replace theA-10 andF-16 warplanes. Initial squadron of F-35As was combat ready in 2016. This?conventional take-off and landing version is being exported to a number of countries, including Australia, Belgium, Denmark, Italy, Japan, Netherlands, Norway, South Korea, Turkey, and possibly, some other countries. However some operators ordered relatively small number of these multi-role fighters due to its impressive price tag.",,,,
F-35B,Stealthy multi-role fighter with STOVL capability,"The F-35B is a Short Take-Off and Vertical Landing (STOVL) aircraft. It is also known as the Lightning II. The F-35B is a modified version of the genericF-35 multi-role fighter. This model was developed for the US Marine Corps, Royal Air Force and Royal Navy. Development of this aircraft was principally funded by the United States, with the United Kingdom and other partner governments providing additional funding. The generic F-35 aircraft was proposed in three main variants, including the F-35A conventional take-off and landing aircraft, F-35B short-rake of and vertical landing aircraft andF-35C carrier-based aircraft. It was planned that these variants will share about 80% of their parts to keep development and production costs low. This also would require less logistic support. However it turned out that by 2017 the design commonality was only 20%. Development program of the F-35 series was plagued by constant cost overruns. Low-rate initial production F-35B aircraft had a unit price of around $122 million per aircraft. As example anF-22 Raptor stealthy fighter, which is the most capable fighter aircraft ever built, costs around $150 million per aircraft. The F-35B achieved initial operational capability with the US Marine Corps (USMC) in 2015. It was the first variant of the F-35 that reached operational service. The F-35B replaces in USMC service the older F/A-18 multi-role fighters, notably its -A, -B,-C and -D models and AV-8B close support aircraft. The US Marines also operate another F-35C carrier-based variant. It is planned that the F-35B will be exported to United Kingdom, Italy, Turkey, and possibly some other countries.",,,,
"Lockheed Martin F-35C 
Lightning II",Stealthy carrier-based multi-role fighter,"The same generic aircraft is available in 3 main variants. The F-35A is a conventional take-off and landing aircraft for the US Air Force, the F-35B is a short take-off and vertical landing aircraft for the US Marine Corps, while the F-35C is the carrier-based variant. Initially it was planned that these 3 variants would share around 80% of their parts to keep development, production and maintenance costs low and for easier logistic support. However it turned out that by 2017 the design commonality was only 20%. The F-35B was the first variant of the F-35 to",,,,
Lockheed Martin / Boeing F-22 Raptor,Stealthy air superiority fighter,"Developed to meet the USAF's Advanced Tactical Fighter (ATF) requirement for anF-15 replacement.,Requirement for a new fighter was issued in the early 1980s. Two companies competed to meet this USAF requirement, including Lockheed Martin (which teamed up with Boeing and General Dynamics) with a YF-22 prototype and Northrop (which teamed with McDonnel Douglas) with its YF-23. In 1991 the YF-22 design was announced the winner.,It was more agile than the YF-23, but less stealthier and slower. Between 1990 to 1997 two YF-22A prototypes evaluated some of the technologies proposed for the production ATF.",,,,
Boeing F/A-18E/F Super Hornet,Multi-role fighter,"The first of McDonnell Dauglas's (Boeing from 1997) Hornet upgrade concepts to reach fruition is the F/A-18E Super Hornet. The first F/A-18E made its maiden flight in November 1995 and the first aircraft was formally accepted into service with VFA-122 on 15 January 1999. The avionics upgrade is centred on the Raytheon APG-73 radar as already fitted to late versions of the F/A-18C. The IDECM (Integrated Defensive Electronic Counter Measures) system has three major elements: an ALR-67(V)3 RWR, ALQ-214 radio-frequency counter measures system and ALE-55 fibre-optic towed decoy system.",,,,
Boeing F/A-18A/C Hornet,Naval multi-role fighter,"The world's premier naval fighter originated as a more sophisticated naval derivative of the Northrop YF-17 that was pitted against the General Dynamics YF-16 in the US Navy's Air Combat Fighter programme of 1976. The YF-17? was selected by the US Navy and eventually adopted as the F/A-18 Hornet. Even though the YF-16 lightweight fighter lost this compwetition for the naval fighter, it was adopted by the US Air Force as theF-16,.,The first of 11 trials Hornets made its maiden flight on 18 November 1978. Production of the initial F/A-18A single-seat version eventually totalled 371 aircraft, the first US Navy squadron receiving its aircraft in 1983.",,,,
F-16V,Lightweight multi-role fighter,"In 2012 the US Air Force awarded Lockheed Martin a contract to upgrade a total of 145 F-16A and F-16B fighters operated by Taiwan's air force. The upgraded aircraft is known as the F-16V. Its unofficial nickname is the Viper due to the ""V"" letter in the designation. This lightweight multi-role fighter made its first flight in 2015. It is likely that Taiwan will be the first operator of this aircraft. In 2015 it was announced that Lockheed Martin will upgrade a total of 134 South Korea's KF-16 fighters to the F-16V standard. The US Air Force also had intentions to upgrade its fleet of more than 1 000 F-16s as an interim measure, until theF-35 is fielded. As upgrading existing forth-generation fighters is far cheaper than buying new fifth-generation fighters.",,,,
F-16 Fighting Falcon,Multi-role fighter,"Originally conceived as a lightweight air-combat fighter, the Lockheed Martin (originally General Dynamics) F-16 has evolved into a versatile and effective multi-role workhorse. It was intended to supplement contemporaryF-15 Eagle air superiority fighter. The F-16 was a lighter and less capable warplane than the F-15 Eagle, however it was also less expensive to produce and to maintain. The F-16 made its maiden flight in 1974. Over 4 400 of these aircraft were built. The type is currently operated by 25 air forces. The US Air Force (USAF) will operate its F-16 fleet until 2025. It will be gradually replaced with the newF-35.",,,,
