type,number,name,foreign name,state,company,time
US military standards MIL,MIL-E-22285-1959,"EXTINGUISHING SYSTEM,FIRE,AIRCRAFT",,effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),7-May-97
US military standards MIL,MIL-M-81807A-1971,Marking Of Aircraft Ground Support Equipment And Other Flight Line Vehicles With Retro-Reflective Materials; Process For,Marking Of Aircraft Ground Support Equipment And Other Flight Line Vehicles With Retro-Reflective Materials; Process For,effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2019/7/23
US military standards MIL,MIL-PRF-23827-2016,"GREASE, AIRCRAFT AND INSTRUMENT, GEAR AND ACTUATOR SCREW","GREASE, AIRCRAFT AND INSTRUMENT, GEAR AND ACTUATOR SCREW",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2016/4/5
US military standards MIL,MIL-PRF-85570,"CLEANING COMPOUNDS, AIRCRAFT, EXTERIOR",,effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),27-Dec-16
US military standards MIL,MIL-T-26140A-1957,"Tester, Pressurized Cabin Leakage, Aircraft, Af/M24T-2","Tester, Pressurized Cabin Leakage, Aircraft, Af/M24T-2",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1974/9/1
US military standards MIL,MIL-PRF-85570,"CLEANING COMPOUNDS, AIRCRAFT, EXTERIOR",,effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),27-Mar-12
US military standards MIL,MIL-A-9094/1C-1974,"Arrester, Aircraft, Lightning","Arrester, Aircraft, Lightning",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1996/5/9
US military standards MIL,MIL MS3224A,"Balls, Bearing, Aircraft Quality Steel(Superseding Ms3224)(S/S By Astm-F2215)","Balls, Bearing, Aircraft Quality Steel(Superseding Ms3224)(S/S By Astm-F2215)",,,
US military standards MIL,MIL-STD-3009-2001(R2002),"Lighting, Aircraft, Night Vision Imaging System (Nvis) Compatible","LIGHTING, AIRCRAFT, NIGHT VISION IMAGING SYSTEM (NVIS) COMPATIBLE",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2002/10/4
US military standards MIL,MIL-A-9094/3A-1974,"Arrester, Lightning, (Aircraft)","Arrester, Lightning, (Aircraft)",abolish,,
US military standards MIL,MIL-PRF-7032/1-2010,"Inverter, Aircraft, Dc To Ac, 750 Va 3-Phase, 1000 Va 1-Phase, And 1000 Va 3-Phase, Multi-Purpose, Class B","Inverter, Aircraft, Dc To Ac, 750 Va 3-Phase, 1000 Va 1-Phase, And 1000 Va 3-Phase, Multi-Purpose, Class B",effective,,
US military standards MIL,MIL-R-83055-1969,"Rain Repellent Dispensing Systems, Aircraft","Rain Repellent Dispensing Systems, Aircraft",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1987/5/6
US military standards MIL,MIL-B-8565J-1987,"Battery Storage, Aircraft","Battery Storage, Aircraft",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1987/7/1
US military standards MIL,MIL-T-46763B-1980,"Trucks,Tank:Aircraft Dual Fuel Servicing,Commercil","Trucks,Tank:Aircraft Dual Fuel Servicing,Commercil",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1980/8/11
US military standards MIL,QPL-23827-2020,"Grease, Aircraft And Instrument, Gear And Actuator Screw","Grease, Aircraft and Instrument, Gear and Actuator Screw",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2020/10/8
US military standards MIL,MIL-STD-768A-1970,Instructions For Repair/Aircraft And Weapons Plastic,Instructions For Repair/Aircraft And Weapons Plastic,abolish,,
US military standards MIL,MS 17108-1970(R2006),"Bearing, Ball, Annular, Primarily For Aircraft Generators, Type Ii","BEARING, BALL, ANNULAR, PRIMARILY FOR AIRCRAFT GENERATORS, TYPE II",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2006/6/12
US military standards MIL,QPL-7034-2002(R2020),"Pulleys, Groove, Antifriction Bearing, Grease Lubricated, Aircraft, General Specification For","Pulleys, Groove, Antifriction Bearing, Grease Lubricated, Aircraft, General Specification for",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2020/7/14
US military standards MIL,MIL-M-8609B-1965,"Motors, Direct-Current, 28 Volt Sys, Aircraft","Motors, Direct-Current, 28 Volt Sys, Aircraft",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1996/8/28
US military standards MIL,MIL MS14158,"Tire - Aircraft, 13.5 X 6.00-4 (Navy) (No S/S Document)","Tire - Aircraft, 13.5 X 6.00-4 (Navy) (No S/S Document)",,,
US military standards MIL,MIL-T-25186A-1961,"Toilets, Aircraft, Chemical","Toilets, Aircraft, Chemical",abolish,,
US military standards MIL,MIL-D-50845-1970,"Dispenser And Bomb: Training, Aircraft: Cbu-7A(T-1","Dispenser And Bomb: Training, Aircraft: Cbu-7A(T-1",abolish,,
US military standards MIL,MIL MS3320N,"Circuit Breaker-Aircraft, Trip-Free, Push Pull, 1/2 Thru 20 Amps, Type I -55 Thru +121 Deg. C (Superseding Ms3320M) (S/S By Sae-As33201)","Circuit Breaker-Aircraft, Trip-Free, Push Pull, 1/2 Thru 20 Amps, Type I -55 Thru +121 Deg. C (Superseding Ms3320M) (S/S By Sae-As33201)",,,
US military standards MIL,QPL-25537-2020,"Grease, Aircraft, Helicopter Oscillating Bearing, Nato Code Number G-366, Metric","Grease, Aircraft, Helicopter Oscillating Bearing, NATO Code Number G-366, Metric",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2020/10/8
US military standards MIL,MIL-DTL-7034/4-2005(R2017),"Pulley, Control, Anti-Friction Bearing, Aircraft","PULLEY, CONTROL, ANTI-FRICTION BEARING, AIRCRAFT",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2017/3/22
US military standards MIL,QPL-25013-1976(R2019),"Grease, Aircraft, Ball And Roller Bearing, Nato Code Number G-372, Metric","Grease, Aircraft, Ball and Roller Bearing, NATO Code Number G-372, Metric",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2019/7/16
US military standards MIL,MIL-C-7115/1-1977,"Converter 100 Ampere,Aircraft,Class B,Regulated,","Converter 100 Ampere,Aircraft,Class B,Regulated,",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1977/5/24
US military standards MIL,MIL-B-5612A-1961,"Brush: Cleaning, Aircraft","Brush: Cleaning, Aircraft",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1961/3/20
US military standards MIL,MIL MS3387A,"Tire, Pneumatic, Aircraft, Rebuilt, 40 X 14, Type Vii (Navy) (Superseding Ms3387)","Tire, Pneumatic, Aircraft, Rebuilt, 40 X 14, Type Vii (Navy) (Superseding Ms3387)",,,
US military standards MIL,MIL-C-5668-1950,"Cutter, Aircraft Cable","Cutter, Aircraft Cable",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1950/2/24
US military standards MIL,MIL-M-5401A-1963,"Mount, Aircraft Camera, Vertical, Type A-27A","Mount, Aircraft Camera, Vertical, Type A-27A",abolish,,
US military standards MIL,MIL-PRF-8565/17A Notice 1 - Validation 1,"Battery, Storage, Aircraft, Maintenance-Free, 24-Volt, 1/3-Ampere-Hour (Superseding Mil-Prf-8565/17)","Battery, Storage, Aircraft, Maintenance-Free, 24-Volt, 1/3-Ampere-Hour (Superseding Mil-Prf-8565/17)",,,
US military standards MIL,MIL-D-50852-1971,"Dispenser And Bomb, Aircraft Cbu-58/B Loading Assemblin And Packing","Dispenser And Bomb, Aircraft Cbu-58/B Loading Assemblin And Packing",abolish,,
US military standards MIL,MIL-A-8064B-1970,"Actuators And Actuating Systems, Aircraft,","Actuators And Actuating Systems, Aircraft,",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1987/5/28
US military standards MIL,MIL MS91405E,"Base, Mounting, Large-Size (For Use With Electronic Equipment In Aircraft) (Superseding Ms91405D)","Base, Mounting, Large-Size (For Use With Electronic Equipment In Aircraft) (Superseding Ms91405D)",,,
US military standards MIL,MIL MS90443E,"Tire, Pneumatic, Aircraft, 28 X 9.0, Type Vii (Navy) (Superseding Ms90443D)","Tire, Pneumatic, Aircraft, 28 X 9.0, Type Vii (Navy) (Superseding Ms90443D)",,,
US military standards MIL,MIL-T-5041H-1989,"Tires, Pneumatic, Aircraft","Tires, Pneumatic, Aircraft",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1989/3/13
US military standards MIL,MIL-T-5421B-1969,"Tubes, Pitot, Electrically Heated, Aircraft","Tubes, Pitot, Electrically Heated, Aircraft",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1999/4/12
US military standards MIL,MIL-PRF-49450/10-2000,"Battery Cell, Rechargeable, Nickel-Cadmium, Vented, Aircraft, Bb-599A/A","Battery Cell, Rechargeable, Nickel-Cadmium, Vented, Aircraft, Bb-599A/A",effective,,
US military standards MIL,MIL-M-8605C-1976,"Mockups, Aircraft,","Mockups, Aircraft,",effective,,
US military standards MIL,MIL-P-6064A-1950,Packaging Of Lighweight Aircraft Accessories,Packaging Of Lighweight Aircraft Accessories,effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1953/2/24
US military standards MIL,MIL-STD-1797B-2006,Flying Qualities Of Piloted Aircraft,Flying Qualities Of Piloted Aircraft,effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2012/4/9
US military standards MIL,MIL MS3374A,"Tire, Pneumatic, Aircraft, 20 X 5.5, Type Vii (Navy) (Superseding Ms3374)","Tire, Pneumatic, Aircraft, 20 X 5.5, Type Vii (Navy) (Superseding Ms3374)",,,
US military standards MIL,QPL 85285-2020,"Coating: Polyurethane, Aircraft and Support Equipment","Coating: Polyurethane, Aircraft and Support Equipment",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2020/5/27
US military standards MIL,MIL-P-6068A-1951,"Pine, Aircraft Western White","Pine, Aircraft Western White",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1951/5/15
US military standards MIL,MIL MS3385A,Retread Tire - Aircraft 28 X 9.0 (173 Mph) Type Vii (Navy) (Superseding Ms3385),Retread Tire - Aircraft 28 X 9.0 (173 Mph) Type Vii (Navy) (Superseding Ms3385),,,
US military standards MIL,MIL-DTL-3628/253-2019,"Badge, Qualification, Unmanned Aircraft Systems Basic, Senior, Master Grades, U.S. Air Force","BADGE, QUALIFICATION, UNMANNED AIRCRAFT SYSTEMS BASIC, SENIOR, MASTER GRADES, U.S. AIR FORCE",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2019/10/3
US military standards MIL,QPL-18148-2020,"Connectors, Electrical, Aircraft Storage Battery General Specification For","Connectors, Electrical, Aircraft Storage Battery General Specification for",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2020/6/24
US military standards MIL,QPL-24021-2020,"Electric Power Monitors, External, Aircraft","Electric Power Monitors, External, Aircraft",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2020/3/26
US military standards MIL,QPL-7782-1958(R1960),"Wheel, Aircraft, Tail Solid Rubber Tire","WHEEL, AIRCRAFT, TAIL SOLID RUBBER TIRE",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1960/3/28
US military standards MIL,DI-S-3584-1970,"Weight, Balance, And Inertia (Mass Properties) Data-Aircraft","WEIGHT, BALANCE, AND INERTIA (MASS PROPERTIES) DATA-AIRCRAFT",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1970/8/24
US military standards MIL,MS 17107-1970(R1997),"Bearing, Ball, Annular, Primarily For Aircraft Motor-Generators, Type I","BEARING, BALL, ANNULAR, PRIMARILY FOR AIRCRAFT MOTOR-GENERATORS, TYPE I",,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1997/9/17
US military standards MIL,MIL-C-81774-1973(R1920),"Control Panel, Aircraft, General Requirements For","CONTROL PANEL, AIRCRAFT, GENERAL REQUIREMENTS FOR",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1920/6/9
US military standards MIL,MIL-S-7223-1957,"Stand, Test, Aircraft Generator, Type A-3","STAND, TEST, AIRCRAFT GENERATOR, TYPE A-3",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1957/1/14
US military standards MIL,QPL-25469-2020,"Valves, Filler, Liquid Oxygen, Aircraft Type","Valves, Filler, Liquid Oxygen, Aircraft Type",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2020/11/24
US military standards MIL,MIL-E-87231-1985(R2015),"Engines, Aircraft, Turbojet And Turbofan","ENGINES, AIRCRAFT, TURBOJET AND TURBOFAN",,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2015/9/9
US military standards MIL,MIL-R-60117-1964,"Remover, Aircraft Canopy, M4 And M5 Metal Parts Assembly","Remover, Aircraft Canopy, M4 And M5 Metal Parts Assembly",abolish,,
US military standards MIL,MIL-D-50802-1970,"Dispenser And Bomb: Aircraft Cbu-7A/A Loading,","Dispenser And Bomb: Aircraft Cbu-7A/A Loading,",abolish,,
US military standards MIL,MIL-R-83169-1968,"Refueling Unit,Portable,Aircraft A/E32R-16,100 Gpm","Refueling Unit,Portable,Aircraft A/E32R-16,100 Gpm",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1970/5/12
US military standards MIL,MIL-B-8584C-1970,"Brake Systems, Wheel, Aircraft, Design Of","Brake Systems, Wheel, Aircraft, Design Of",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2019/6/24
US military standards MIL,MIL-STD-203G-1991,"Aircrew Station Controls And Displays: Location, Arrangement And Actuation Of, For Fixed Wing Aircraft","Aircrew Station Controls And Displays: Location, Arrangement And Actuation Of, For Fixed Wing Aircraft",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2019/9/11
US military standards MIL,MIL-A-27261A-1966,"Accelerometer, Aircraft","Accelerometer, Aircraft",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2014/5/1
US military standards MIL,MIL-P-83814-1990,"Plant, Asphalt Mixing, Drum Type, Electric Motor Driven, Roadable,Air Transportable C-5A Aircraft, 125 Tons Per Hour Capacity","Plant, Asphalt Mixing, Drum Type, Electric Motor Driven, Roadable,Air Transportable C-5A Aircraft, 125 Tons Per Hour Capacity",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1995/9/27
US military standards MIL,MIL-PRF-81757/16-1999,"Battery, Storage, Aircraft, Nickel-Cadmium, High Rate, 24-Volt, 35-Ampere-Hour, Low-Maintenance, Vented","Battery, Storage, Aircraft, Nickel-Cadmium, High Rate, 24-Volt, 35-Ampere-Hour, Low-Maintenance, Vented",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2017/10/26
US military standards MIL,MIL-PRF-81757/17-2009,"Battery, Storage, Aircraft, Nickel-Cadmium, High-Rate, Type 2, 24-Volt, 35-Ampere-Hour, Charge Controlled","Battery, Storage, Aircraft, Nickel-Cadmium, High-Rate, Type 2, 24-Volt, 35-Ampere-Hour, Charge Controlled",effective,,
US military standards MIL,MIL-PRF-8565/18-2013,"Battery, Storage, Aircraft, Maintenance-Free, 24-Volt, 10-Ampere-Hour","Battery, Storage, Aircraft, Maintenance-Free, 24-Volt, 10-Ampere-Hour",effective,,
US military standards MIL,MIL-STD-1648A-1982,"Criteria And Test Procedures For Ordnance, Exposed To An Aircraft Fuel Fire","Criteria And Test Procedures For Ordnance, Exposed To An Aircraft Fuel Fire",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1995/12/5
US military standards MIL,MIL MS27546,"Battery, Aircraft, Storage, Nickel-Cadmium, 24V, 5 Amp Hour (1 Hr Rate) 25 Deg. C","Battery, Aircraft, Storage, Nickel-Cadmium, 24V, 5 Amp Hour (1 Hr Rate) 25 Deg. C",,,
US military standards MIL,MIL MS26525,"Handles, Control, Aircraft Lift To Reverse Throttle (No S/S Document)","Handles, Control, Aircraft Lift To Reverse Throttle (No S/S Document)",,,
US military standards MIL,MIL-DTL-3628/173B-2019,"Badge, Qualification, Aviation, Navigator Or Aircraft Observer, Master, U.S. Air Force","Badge, Qualification, Aviation, Navigator Or Aircraft Observer, Master, U.S. Air Force",effective,,
US military standards MIL,MIL-DTL-32392A-2013,Aircraft Arresting System - Textile (Taas),Aircraft Arresting System - Textile (Taas),effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2018/5/23
US military standards MIL,MIL-M-6404A-1965,"Meter, Volumetric, Positive Displacement, Liquid, Type F-1, Aircraft Fuel, 300 Gallons Per Minute","Meter, Volumetric, Positive Displacement, Liquid, Type F-1, Aircraft Fuel, 300 Gallons Per Minute",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2000/1/12
US military standards MIL,MIL-STD-1791C-2017,Designing For Internal Aerial Delivery In Fixed Wing Aircraft,Designing For Internal Aerial Delivery In Fixed Wing Aircraft,effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2017/12/29
US military standards MIL,MIL-STD-704F-2004,Aircraft Electric Power Characteristics,Aircraft Electric Power Characteristics,effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2016/12/5
US military standards MIL,MIL-A-8730A-1958,"Aircraft, General Specification For","Aircraft, General Specification For",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1961/10/17
US military standards MIL,MIL MS3510A,"Plug, Venting, Electrolyte Access Hole, Cell, Aircraft Alkaline Storage Battery (Superseding Ms3510) (S/S By Mil-B-81757/2B)","Plug, Venting, Electrolyte Access Hole, Cell, Aircraft Alkaline Storage Battery (Superseding Ms3510) (S/S By Mil-B-81757/2B)",,,
US military standards MIL,MIL-T-18847C-1986,"Tank, Fuel, Aircraft, Auxiliary External, Design And Installation Of","Tank, Fuel, Aircraft, Auxiliary External, Design And Installation Of",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2019/8/28
US military standards MIL,MIL-B-5478A-1949,Bill Of Materials; Aircraft And Aeronautical Equipment (Production Contract),Bill Of Materials; Aircraft And Aeronautical Equipment (Production Contract),abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1949/11/14
US military standards MIL,MIL-PRF-8565/19-2012,"Battery, Storage, Aircraft, Medium Rate, Maintenance-Free, 24-Volt, 15-Ampere-Hour","Battery, Storage, Aircraft, Medium Rate, Maintenance-Free, 24-Volt, 15-Ampere-Hour",effective,,
US military standards MIL,MIL-T-26780C-1982,"Tie Down, Cargo, Aircraft, Nylon Web Net","Tie Down, Cargo, Aircraft, Nylon Web Net",abolish,,
US military standards MIL,MIL-A-9094/7B-1974,"Arrester, Aircraft Lightning","Arrester, Aircraft Lightning",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1996/5/9
US military standards MIL,MIL MS14193,"Aircraft Tire Life Cycle Costing (Lcc), Procedures For","Aircraft Tire Life Cycle Costing (Lcc), Procedures For",,,
US military standards MIL,MIL-P-6906B-1969,"Plates, Identification, Aircraft","Plates, Identification, Aircraft",effective,,
US military standards MIL,MIL-PRF-7032/2-2019,"Inverter, Aircraft, Dc To Ac, 600 Va 1-Phase, 400 Hertz, Multi-Purpose","Inverter, Aircraft, Dc To Ac, 600 Va 1-Phase, 400 Hertz, Multi-Purpose",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2019/6/20
US military standards MIL,MIL-PRF-8565/14-2001,"Battery, Storage, Aircraft, Medium Rate, Maintenance-Free, 24-Volt, 15-Ampere-Hour","Battery, Storage, Aircraft, Medium Rate, Maintenance-Free, 24-Volt, 15-Ampere-Hour",effective,,
US military standards MIL,MIL-PRF-8565/16-2012,"Battery, Storage, Aircraft, Medium Rate, Maintenance-Free, 24-Volt, 5-Ampere-Hour","Battery, Storage, Aircraft, Medium Rate, Maintenance-Free, 24-Volt, 5-Ampere-Hour",effective,,
US military standards MIL,MIL-PRF-8565/20-2012,"Battery, Storage, Aircraft, Medium Rate, Maintenance-Free, 24-Volt, 17-Ampere-Hour","Battery, Storage, Aircraft, Medium Rate, Maintenance-Free, 24-Volt, 17-Ampere-Hour",effective,,
US military standards MIL,MIL-R-81367-1966,"Rain Removal System, Aircraft Windshield, Jet Air Blast","Rain Removal System, Aircraft Windshield, Jet Air Blast",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2019/6/20
US military standards MIL,MIL-P-5518D-1993,"Pneumatic Systems, Aircraft, Design And Installation, General Requirements For","Pneumatic Systems, Aircraft, Design And Installation, General Requirements For",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2019/11/4
US military standards MIL,MIL-C-5501/17-1975,"Plug, Protective, Dust And Moisture Seal For Av-8 Aircraft Fittings With Brithish Size Pipe Threads","Plug, Protective, Dust And Moisture Seal For Av-8 Aircraft Fittings With Brithish Size Pipe Threads",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1998/8/17
US military standards MIL,MIL-DTL-25469J-2014,"Valves, Filler, Liquid Oxygen, Aircraft Type","Valves, Filler, Liquid Oxygen, Aircraft Type",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2014/12/8
US military standards MIL,MIL-P-21563B-1962,"Paint System, Fluorescent, For Aircraft Application","Paint System, Fluorescent, For Aircraft Application",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2008/11/19
US military standards MIL,MIL-STD-1760E-2007,Interface Standard Aircraft/Store Electrical Interconnection System,Interface Standard Aircraft/Store Electrical Interconnection System,effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2007/10/24
US military standards MIL,MIL-C-7974/2-1978,"Cable Assembly, External Power, Aircraft, 115/200 Volt, 400 Hertz Power Distribution Flight Line (For A/E 24A-166A)","Cable Assembly, External Power, Aircraft, 115/200 Volt, 400 Hertz Power Distribution Flight Line (For A/E 24A-166A)",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2006/2/20
US military standards MIL,MIL-C-5056-1950,"Coating, Permanent Resin; Process For Application Of, To Aircraft Parts","Coating, Permanent Resin; Process For Application Of, To Aircraft Parts",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1996/8/28
US military standards MIL,MIL-STD-2131A-1991,"Launcher, Ejection, Guided Missile, Aircraft, General Design Criteria For","Launcher, Ejection, Guided Missile, Aircraft, General Design Criteria For",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2019/8/23
US military standards MIL,MIL MS3384A,"Tire, Pneumatic, Aircraft, Rebuilt, 28 X 7.7 (200 Mph) Type Vii (Navy) (Superseding Ms3384)","Tire, Pneumatic, Aircraft, Rebuilt, 28 X 7.7 (200 Mph) Type Vii (Navy) (Superseding Ms3384)",,,
US military standards MIL,MIL-PRF-32009-1997,"Crane, Portable, Folding, 6000 Lb Capacity, Aircraft Engine And Propeller; General Specification For","Crane, Portable, Folding, 6000 Lb Capacity, Aircraft Engine And Propeller; General Specification For",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2007/10/5
US military standards MIL,MIL-C-81991-1975,"Converter, Aircraft, Dc To Dc, Boost General Specification For","Converter, Aircraft, Dc To Dc, Boost General Specification For",abolish,,
US military standards MIL,MIL-T-26398D-1967,"Test Stand, Aircraft Hydraulic System, Trailer-Mounted, A/M27T-2, Electric-Motor-Driven, Triple System","Test Stand, Aircraft Hydraulic System, Trailer-Mounted, A/M27T-2, Electric-Motor-Driven, Triple System",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2014/9/3
US military standards MIL,MIL-D-50844-1970,"Dispenser And Bomb: Training, Aircraft:Cbu-7A(T-1)","Dispenser And Bomb: Training, Aircraft:Cbu-7A(T-1)",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1983/9/15
US military standards MIL,MIL-R-81839-1983,"Rack, Bomb, Aircraft; Bru-12/A","Rack, Bomb, Aircraft; Bru-12/A",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2019/7/25
US military standards MIL,MIL-B-5800B-1955,"Body, Still Picture, Aircraft Reconnaissance Camera, K-17D Camera","Body, Still Picture, Aircraft Reconnaissance Camera, K-17D Camera",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1968/9/6
US military standards MIL,MIL-P-5238C-1974,"Pump,Centrifugal,Fuel Booster,Aircraft","Pump,Centrifugal,Fuel Booster,Aircraft",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1996/8/28
US military standards MIL,MIL-M-5777C-1960,"Maintenance Platform, Aircraft, Adjustable, 3 To 10 Feet, Type B-1","Maintenance Platform, Aircraft, Adjustable, 3 To 10 Feet, Type B-1",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2014/5/9
US military standards MIL,MIL-A-8591H-1990,"Airborne Stores, Suspension Equipment And Aircraft Store Interface (Carriage Phase); General Design Criteria For","Airborne Stores, Suspension Equipment And Aircraft Store Interface (Carriage Phase); General Design Criteria For",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2005/12/12
US military standards MIL,MIL-A-8897A-1963,"Accumulators, Hydraulic, Cylindrical, 3,000 Psi, Aircraft, Type Iisystems","Accumulators, Hydraulic, Cylindrical, 3,000 Psi, Aircraft, Type Iisystems",abolish,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),1987/11/10
