title,content,type,time
International Law on Drone's Military Use  - Focuse on Proportionality and Discrimination Principles -,"Despite growing international cooperation for maintenance of international peace and security, wars continue to occur due to conflicted state interests. Continuing conflicts has advanced development of various weapon systems such as global integrated intelligence, surveillance and reconnaissance. However, with a big increase in the number of civilian casualties caused by the weapon systems development, the international community has also advanced diplomatic efforts to minimize deaths of civilian and military personnel.Therefore, it is essential to observe the principle of discrimination between combatants and non-combatants when operating unmanned aerial vehicles (UAVs), better known as drones. Drones have become more capable of distinguishing combatants from non-combatants due to its high-tech prowess. In the operation of drones, any parties involved in combat or the war are responsible for mounting civilian casualties. In addition, it should comply with the principle of proportionality that calls for a balance between results of such action and expected military advantage anticipated from the attack. The rule of proportionality prohibits use of military force which may be expected to cause excessive civilian harm. Drones have been able to track and monitor targets for hours and select the accurate locations of the targets. The aim is to reduce civilian losses and damage to a minimum. Drones meet the standards of Article 51.4 of the Additional Protocol.",Drone,2020
Enhanced Social Spider Optimization Algorithm for Increasing Performance of Multiple Pursuer Drones in Neutralizing Attacks From Multiple Evader Drones,"We propose an optimization algorithm for reducing execution time needed by multiple pursuers in solving a variant of the Multiple-Pursuer Multiple-Evader (MPME) problem where each evader tries to attack an area defended by pursuers. This problem is a variant of the Multi-Agent Pursuit Evasion problem. In our discussed problem, a group of pursuers tries to defend an area from a group of evaders' attacks. The main task given in this problem is how pursuers can capture or immobilize as soon as possible any evader trying to get closer to the defended area (evaders' target). We use Social Spider Optimization (SSO) algorithm as the basis of our proposed method. In SSO, there are female spiders, dominant-male spiders, and non-dominant-male spiders collaborating to catch their prey. In SSO, there are three main procedures usually exist: calculation of fitness value, the vibrational summons of surrounding spiders, and mating procedure. In this paper, we develop an enhanced SSO algorithm where excludes the mating procedure and propose a practical calculation process for solving our discussed problem. SSO is one of the recent optimization algorithms developed in the computer science field. Developing this algorithm for solving dynamic problem like the MPME variant surely brings a novelty in the computer science research area. We test our proposed method in a 3D simulation environment where we manifest all pursuers and evaders as drones. Based on our experiment result, our algorithm performs better than commonly used methods for solving the MPME problem.",Drone,2020
Random Number Generator Using Sensors for Drone,"In recent years, drones have been widely used in many areas such as farming, movie making, surveillance and delivery. So, there is a need to protect these drones against security attacks including hijacking, spying and theft of stored data through the utilization of security mechanisms. Cryptographic keys are needed to operate these security mechanisms, and they must be generated by using random number generators which create unpredictable and non-regenerable random numbers. However, existing random number generators used in drones are not tailored for drones specifically as they use random sources generated on a desktop, not a drone. Recently, random number generators utilizing sensors in mobile phones and IoT (Internet of Things) devices have been studied, but are not appropriate for drones. In this paper, considering that drone sensors must be applied to flight and stationary modes, we proposed a drone specific random number generator called DroneRNG and implemented it. Then, we showed that our DroneRNG passed all of the NIST randomization tests and possesses better statistical properties and unpredictability than random number generators that are currently used in drones.",Drone,2020
Measurement based threat aware drone base station deployment,"Unmanned aerial vehicles are gaining importance with many civilian and military applications. Especially the surveillance, search/rescue, and military operations may have to be carried out in extremely constrained environments. In such scenarios, drone base stations (DBSs) have to provide communication services to the people at the ground. The ground users may have no access to the global positioning system (GPS); therefore, their locations have to be estimated using alternative techniques. Besides there may be threats in the environment, such as shooters. In this work, we address the problem of optimal DBS deployment under the aforementioned constraints. We propose a novel DBS deployment algorithm that uses estimated positions of ground users and threats. The proposed algorithm is based on receiver signal strength-based maximum likelihood estimate of user locations and K-means clustering supported heuristic that takes into account the positions of threats. Numerical results show that proposed algorithm performs close to the computation intensive near-optimal algorithm and strikes a good trade-off between the number of unserved users and the probability of DBSs not being hit.",Drone,2020
Drone Force Deployment Optimization Algorithm For Efficient Military Drone Operations,"One of the major advancements of the Fourth Industrial Revolution is the use of Internet of Drones (IoD), which combines the Internet of Things (IoT) and drone technology. IoD technology is especially important for efficiently and economically operating C4ISR operations in actual battlefields supporting various combat situations. The purpose of this study is to solve the problems of limited battery capacity of drones and lack of budgeting criteria for military drone transcription, introduction, and operation. If the mission area is defined and corresponding multi-drone hovering check points and mission completion time limits are set, then an energy and time co-optimized scheduling and operation control scheme is needed. Because such a scheme does not exist, in this paper, a Drone Force Deployment Optimization (DFDO) scheme is proposed to help schedule multi-drone operation scheduling and networked based remote multi-drone control.",Drone,2020
The Study on analysis methodology of optimal performance and quantity for Mission-Based drones,"This paper addresses the analysis method about optimal performance and required quantity for Mission-Based drones. In the case of drones, although scientific verification of operational performance and quantity of demanded, such as total flight time, total operation time, and appropriate required quantity, is required depending on the operation concept, there is no methodology for analyzing them systematically. That is the reason this research was carried out. Through the suggestion and study about Mission-Based six step analysis method and, this study can present the optimal ROC (Required Operational Capability) and the required quantity based on the operational concept of drones, and technical and economic effects were suggested.",Drone,2020
A Study on the Design of Network System for Defense Integrated Data Center Using NFV/SDN,"The creation of the Defense Integrated Data Center(DIDC) has resulted in a reduction in manpower, operating costs, efficient and effective management of resources. However, it is difficult to effectively collect and manage the data of a large number of battlefields coming from equipments such as drones, robots, and IoT added to the fourth industrial revolution and the future battlefield. Therefore, we will propose the design of DIDC network system using NFV and SDN, which are emerging as the core technologies of 5G, a mobile communication technology. After analyzing the data sheet of each equipment, it is considered that by integrating the redundant functions, energy efficiency, resource utilization and effective network management will be possible.",Drone,2020
"A Study on the Countermeasures of the Police Against the ""Drone Terrorism"" of the Diplomatic Mission in Korea","upose: In this study the police's Countermeasures against drone terrorism in the drone attacks against Diplomatic missions in Korea. Method: In this study the literature review method and the qualitative research method using a questionnaire were applied, focusing on previous studies related to diplomatic missions in korea. The questionnaire was conducted for about 15 days from November 11 to November 25, 2019. Targeted over 10 years of experience in drones and social safety, the total number of participants is 10. Result: The conclusions are drawn based on the opinions of experts on drone terrorism. First, Drone terrorism is one of the worst terrorist methods, including major government facilities, local provocations and ethics that can be easily deployed in everyday life. The recognition of drone terrorism is expected to be developed in a global aspect, and it is expected to be exploited in various crimes with the development of low cost and effective means and production technology. second, The drone terrorist deployment method for the Korean diplomatic mission in korea is terrorism using sunset and sunrise times, terrorism using automatic route flight, self-terrorism using cluster flight, terrorism using nuclear and biochemicals, and small bombs. It can be deployed by a method such as the suicide terrorist method mounted on the factor. Third, the security personnel and equipment aspects of the police to prevent drone terrorism in the diplomatic mission of Korea, such as the establishment of a systematic integrated anti-drone system, anti-drone outsourcing system using private security, listening to the center-centered opinions on equipment, etc. Improvements were made. Conclusion: Drone terrorism targeted by the Diplomatic missions in Korea. will be the best response plan for the present, when a response system should be established in consideration of complex aspect.",Drone,2020
Foerbandsnaera UAV-System. En Analys av behov och Tekniska Moejligheter (Battleground Close UAV Systems),"Tomorrow's battleground environment asks tremendous demands on information or knowledge superiority. UAV systems will be an essential part of a global DBA system, especially to cover temporary lapses in an observation chain close to military units which is dependently on high quality information to gain maximum effect or even survival. The report describes three different UAV systems, all to be used in close corporation with battlefield units. The use of these systems is also discussed in a couple scenarios. The report also shows the tactical advances the technical development offers and points out technology where research is needed to provide future UAV systems with desired functions.
",Drone,2020
Past UAV Program Failures and Implications for Current UAV Programs,"There has been an increasing interest in the use of Unmanned Aerial Vehicles (UAVs) among the US armed services over the past 20 years. However, despite over four billion dollars in investment, the services have cancelled numerous development programs and achieved only marginal success with the fielded systems. This research will examine recent Department of Defense (DoD) UAV development efforts and identify common causes for the repeated failure of DoD UAV programs to become operationally robust. Two ongoing UAV development efforts, the RQ-4A Global Hawk UAV Advanced Concept Technology Demonstrator (ACTD) program and the X-45 Unmanned Combat Air Vehicle (UCAV) Advanced Technology Demonstrator (ATD) program, will then be examined for evidence that we are incorporating these lessons learned into our current programs.
",Drone,2020
Unmanned Aerial Vehicle (UAV)-Unmanned Ground Vehicle Teaming: UAV Guided Navigation,"We simulated a military reconnaissance environment and examined the performance of ground robotics operators who needed to use sensor images from an unmanned aerial vehicle (UAV) to navigate their ground robot to the locations of the targets. We also evaluated participants spatial ability and examined if it affected their performance or perceived workload. Results showed that participants overall performance (speed and accuracy) was better when they had access to images from larger UAVs with fixed orientations, compared to other UAV conditions (baseline- no UAV, micro-air vehicle, and UAV with orbiting views). Participants experienced the highest workload when the UAV was orbiting.",Drone,2020
UAV-Aided Data Delivery Scheme Based on Opportunistic Virtual Intersections for Smart Transportation Networks,"Smart transportation networks, featured by high mobility and intermittent connectivity, are facing critical challenges in data delivery especially when the network is sparse and with less or no support from any infrastructure, such as in disaster and military environments. Unmanned aerial vehicles (UAVs), due to their flexible mobility, can be envisioned to enhance the connectivity of ground vehicular networks. In this paper, incorporating UAVs into vehicular networks, a novel data delivery scheme, named UAV-assisted data delivery (UADD), is proposed for smart transportation networks. We introduce a novel concept called ""opportunistic virtual intersections"", at which UAVs can communicate with ground vehicles, and assist to deliver data packets. Specifically, at an opportunistic virtual intersection, UAVs may act as a relay, which can relay data packets between two vehicles as an intermediate hop, or deliver data packets in a store-carry-and-forward manner. The data forwarding rules are devised based on expected delivery delay and delivery probability of data packets. The performance evaluation demonstrates that the proposed UAV-assisted data delivery scheme can achieve a significant improvement of data delivery performance in terms of delivery delay and delivery ratio.",Drone,2019
Impact of an Interfering Node on Unmanned Aerial Vehicle Communications,"Unlike terrestrial communications, unmanned aerial vehicle (UAV) communications have some advantages such as the line-of-sight (LoS) environment and flexible mobility. However, the interference will be still inevitable. In this paper, we analyze the effect of an interfering node on the UAV communications by considering the LoS probability and different channel fading for LoS and non-line-of-sight (NLoS) links, which are affected by horizontal and vertical distances of the communication link. We then derive a closed-form outage probability in the presence of an interfering node for all the possible scenarios and environments of main and interference links. After discussing the impacts of transmitting and interfering node parameters on the outage probability, we show the existence of the optimal height of the UAV that minimizes the outage probability. We also show the NLoS environment can be better than the LoS environment if the average received power of the interference is more dominant than that of the transmitting signal on UAV communications. Finally, we analyze the network outage probability for the case of multiple interfering nodes using stochastic geometry and the outage probability of the single interfering node case, and show the effect of the interfering node density on the optimal height of the UAV.",Drone,2019
Operator Strategy Model Development in UAV Hacking Detection,"An increasingly relevant security issue for unmanned aerial vehicles (UAVs, also known as drones) is the possibility of a global positioning system (GPS) spoofing attack. Given the existing problems in current GPS spoofing detection techniques and human visual advantages in searching and localizing targets, we propose a human-autonomy collaborative approach of human geo-location to assist UAV control systems in detecting GPS spoofing attacks. An interactive testbed and experiment were designed and used to evaluate this approach, which demonstrated that human-autonomy collaborative hacking detection is a viable concept. Using the hidden Markov model (HMM) approach, operator behavior patterns and strategies from the experiment were modeled via hidden states and transitions among them. These models revealed two dominant hacking detection strategies. Statistical results and expert performer evaluations show no significant difference between different hacking detection strategies in terms of correct detection. The detection strategy model suggests areas of future research in decision support tool design for UAV hacking detection. Also, the development of HMMs presents the feasibility of quantitatively investigating operator behavior patterns and strategies in human supervisory control scenarios.",Drone,2019
Distributed intelligent self-organized mission planning of multi-UAV for dynamic targets cooperative search-attack,"This article studies the cooperative search-attack mission problem with dynamic targets and threats, and presents a Distributed Intelligent Self-Organized Mission Planning (DISOMP) algorithm for multiple Unmanned Aerial Vehicles (multi-UAV). The DISOMP algorithm can be divided into four modules: a search module designed based on the distributed Ant Colony Optimization (ACO) algorithm, an attack module designed based on the Parallel Approach (PA) scheme, a threat avoidance module designed based on the Dubins Curve (DC) and a communication module designed for information exchange among the multi-UAV system and the dynamic environment. A series of simulations of multi-UAV searching and attacking the moving targets are carried out, in which the search-attack mission completeness, execution efficiency and system suitability of the DISOMP algorithm are analyzed. The simulation results exhibit that the DISOMP algorithm based on online distributed down-top strategy is characterized by good flexibility, scalability and adaptability, in the dynamic targets searching and attacking problem. (C) 2019 Chinese Society of Aeronautics and Astronautics. Production and hosting by Elsevier Ltd.",Drone,2019
'Targeted killing' and the lack of acquiescence,"Over the last decade, the concept targeted killing has received much attention in debates on the customary interpretation of the right to self-defence, particularly in the context of practices such as US armed drone attacks. In these debates, government silence has often been invoked as acquiescence to the jus ad bellum aspects of targeted killing. Focusing on the question of state silence on targeted killing practices by the Israeli and US governments in recent years, this article investigates over 900 UN Security Council and Human Rights Council debates and argues that there has been no tacit consent to targeted killing. The analysis firstly shows that the majority of states have condemned Israeli targeted killing practices and have raised concerns about armed drone attacks, while falling short of directly protesting against US practices. The article, secondly, applies the customary international law requirements for acquiescence and challenges the idea that silence on US armed drone attacks can be understood as a legal stance towards targeted killing. The article, finally, investigates the political context and engages with alternative interpretations of silence. Contextualizing acts of protest and lack of protest within an asymmetrical political context, the article posits that the invocation of silence as acquiescence in the case of targeted killing is problematic and risks complicity of legal knowledge production with the violence of hegemonic actors.",Drone,2019
Rigorous Calibration of UAV-Based LiDAR Systems with Refinement of the Boresight Angles Using a Point-to-Plane Approach,"Advances in micro-electro-mechanical navigation systems and lightweight LIDAR (light detection and ranging) sensors onboard unmanned aerial vehicles (UAVs) provide the feasibility of deriving point clouds with very high and homogeneous point density. However, the deformations caused by numerous sources of errors should be carefully treated. This work presents a rigorous calibration of UAV-based LiDAR systems with refinement of the boresight angles using a point-to-plane approach. Our method is divided into a calibration and a parameter mounting refinement part. It starts with the estimation of the calibration parameters and then refines the boresight angles. The novel contribution of the paper is two-fold. First, we estimate the calibration parameters conditioning the centroid of a plane segmented to lie on its corresponding segmented plane without an additional surveying campaign. Second, we refine the boresight angles using a new point-to-plane model. The proposed method is evaluated by analyzing the accuracy assessment of the adjusted point cloud to point/planar features before and after the proposed method. Compared with the state-of-the-art method, our proposed method achieves better positional accuracy.",Drone,2019
Development and Calibration of a Low-Cost Radar Testbed Based on the Universal Software Radio Peripheral,"Modern defense and security radar sensors have to operate in a very diverse set of dynamically varying scenarios: Detection, tracking, and classification of very small and slow air targets, such as drones in clutter areas up to fast air targets such as missiles and fighter aircraft together with an increasingly congested and contested spectrum are essential and challenging system requirements. Cognitive radars that combine a multitude of well known and new techniques offer a promising solution to these challenges. In this article, the operational scenarios are introduced, and then a high-level functional architecture is presented, before discussing certain aspects of cognitive radars from a user's and manufacturer's point of view.",Drone,2019
"Drones, Surveillance, and Violence: Theory and Evidence from a US Drone Program","We investigate the impact of the US drone program in Pakistan on insurgent violence. Using details about US-Pakistan counterterrorism cooperation and geocoded violence data, we show that the program was associated with monthly reductions of around nine to thirteen insurgent attacks and fifty-one to eighty-six casualties in the area affected by the program. This change was sizable, as in the year before the program, the affected area experienced around twenty-one attacks and one hundred casualties per month. Additional quantitative and qualitative evidence suggests that this drop is attributable to the drone program. However, the damage caused in strikes during the program cannot fully account for the reduction. Instead, anticipatory effects induced by the program played a prominent role in subduing violence. These effects stemmed from the insurgents' perception of the risk of being targeted in drone strikes; their efforts to avoid targeting severely compromised their movement and communication abilities, in addition to eroding within-group trust. These findings contrast with prominent perspectives on air-power, counterinsurgency, and US counterterrorism, suggesting select drone deployments can be an effective tool of counterinsurgency and counterterrorism.",Drone,2019
Software-Defined Networking for Unmanned Aerial Vehicular Networking and Security: A Survey,"Despite the immense benefits offered by the utilization of unmanned aerial vehicles (UAVs) in civilian and military applications, significant work needs to be done to ensure that these systems are able to securely communicate and resiliently operate to accomplish the mission. As the UAVs grow with their popularity and usability for different applications, there is a dire need to ensure that UAVs and their networks are capable of mitigating cyber-attacks on the fly. One approach that has gained considerable popularity is Software-Defined Networking (SDN) based solutions. SDN is a networking paradigm that has gained attention due to its dynamic flexibility to program networks and increase network visibility, and its potential to assist in the mitigating security vulnerabilities in the network including the network of UAVs. This article provides an overview of recent advances, and current state of art related to security vulnerabilities and SDN enabled countermeasures. This paper also presents a comparison of different approaches in a tabular form and a discussion of challenges and future research directions with respect to UAV security.",Drone,2019
Moral Values Related to Autonomous Weapon Systems: An Empirical Survey that Reveals Common Ground for the Ethical Debate,"In the political debate on Autonomous Weapon Systems strong views and opinions are voiced, but empirical research to support these opinions is lacking. Insight into which moral values are related to the deployment of Autonomous Weapon Systems is missing. We describe the empirical results of two studies on moral values regarding Autonomous Weapon Systems that aim to understand the perception of people pertaining to the introduction of Autonomous Weapon Systems. One study consists of a sample of military personnel of the Dutch Ministry of Defense and the second study contains a sample of civilians. The results indicate both groups are more anxious about the deployment of Autonomous Weapon Systems than about the deployment of Human Operated drones, and that they perceive Autonomous Weapon Systems to have less respect for the dignity of human life. The concerns for Autonomous Weapon Systems creating new kinds of psychological and moral harm is very present in the public debate, and this is in our opinion one element that deserves to be carefully considered in future debates on the ethics of the design and deployment of Autonomous Weapon Systems. The results of these studies reveal a common ground regarding the moral values of < italic > human dignity </italic > and < italic > anxiety </italic > pertaining the introduction of Autonomous Weapon Systems which could further the ethical debate.",Drone,2019
Optimal Evading Strategies and Task Allocation in Multi-player Pursuit-Evasion Problems,"Pursuit-evasion problems involving multiple pursuers and evaders are studied in this paper. The pursuers and the evaders are all assumed to be identical, and the pursuers are assumed to follow either a constant bearing or a pure pursuit strategy, giving rise to two distinct cases. The problem is simplified by adopting a dynamic divide and conquer approach, where at every time instant each evader is assigned to a set of pursuers based on the instantaneous positions of all the players. In this regard, the corresponding multi-pursuer single-evader problem is analyzed first. Assuming that the evader knows the positions of all the pursuers and their pursuit strategy, the time-optimal evading strategies are derived for both constant bearing and pure pursuit cases for the pursuers using tools from optimal control theory. In the case of a constant bearing strategy, and assuming that the evader can follow any strategy, a dynamic task allocation algorithm is proposed for the pursuers. The algorithm is based on the well-known Apollonius circle and allows the pursuers to allocate their resources in an intelligent manner while guaranteeing the capture of the evader in minimum time. For the case of pure pursuit, the algorithm is modified using the counterpart of the Apollonius circle leading to an ""Apollonius closed curve."" Finally, the proposed algorithms are extended to assign pursuers in the case of a problem with multiple pursuers and multiple evaders. Numerical simulations are included to demonstrate the performance of the proposed algorithms.",Drone,2019
Robust Visual Detection and Tracking Strategies for Autonomous Aerial Refueling of UAVs,"In this paper, we propose a robust detection and tracking strategy for autonomous aerial refueling of unmanned aerial vehicles. The proposed framework includes two modules: a faster deep-learning-based detector (DLD) and a more accurate reinforcement-learning-based tracker (RLT). In the detection stage, the DLD achieves faster speed by combining the efficient MoblieNet with the you only look once framework. In the tracking stage, RLT is proposed to obtain target's position accurately and fastly by performing hierarchically positioning and adjusting target bounding box according to the reinforcement learning. The precision of drogue object tracking is 98.7, which is obviously higher than the other comparison methods. The speed of our network can achieve 15 frames/s on GPU Titan X. The experimental results validate the effectiveness and robustness of the proposed framework.",Drone,2019
Modeling framework for analyzing midair encounters in hybrid airspace where manned and unmanned aircraft coexist,"The integration of unmanned aircraft system into nonsegregated airspace raises safety concerns of midair encounters in the hybrid airspace where manned and unmanned aircraft coexist. This paper aims at developing a new modeling framework with improved modeling capability and feasibility for analyzing the midair encounters in hybrid airspace. This modeling framework includes models of different components (airspace, human pilot, manned aircraft, unmanned aircraft, etc.) involved in midair encounters. As a key component, human pilot is modeled to contain different information processing stages which are perception, decision making and response. Meanwhile, the modeling framework is designed to provide quantitative measures of midair encounters in hybrid airspace, and further uses ""Equal Level of Safety"" criterion to evaluate the validity of the integration of the unmanned aircraft system. Finally, the feasibility and effectiveness of the proposed modeling framework are demonstrated through simulation studies.",Drone,2019
Offense-defense confrontation decision making for dynamic UAV swarm versus UAV swarm,"This paper studies a dynamic swarm versus swarm unmanned aerial vehicle (UAV) combat problem and proposes a self-organized offense-defense confrontation decision-making (ODCDM) algorithm. This ODCDM algorithm adopts the distributed architecture to account for real-time implementation, where each UAV is treated as an agent and able to solve its local decision problem through the information exchange with neighbors. At each decision making step, the swarm seeks an optimal target allocation scheme and each UAV further selects the corresponding behavioral rules, leading to emergent offensive and defensive behaviors. Therefore, the offense-defense confrontation decision-making process is divided into the target allocation decision based on distributed consensus-based auction algorithm (CBAA) and social-force-based swarm motion decision. An offense-defense preference is introduced to the target allocation optimization model, providing the tactics options for UAV to adopt more offensive or more defensive posture. On the basis of classic collective behaviors of cohesion, separation and alignment, a combat stimulus is considered to drive UAV towards the assigned target. Finally, simulation experiments are carried out to verify the effectiveness of the ODCDM algorithm, and analyze the influences of the external deployment and internal tactics on the combat results.",Drone,2019
